dt,bat_v,dht_h,dht_t,ref_v,therm_v,out_v,in_v
20251223T221418,7.425, 20.0, 33.0,2.468,2.737,2.473,2.478
20251223T221419,7.742, 20.0, 33.0,2.468,2.742,2.473,2.478
20251223T221421,7.557, 20.0, 33.0,2.468,2.737,2.473,2.478
20251223T221422,7.672, 20.0, 33.0,2.468,2.742,2.473,2.478
20251223T221424,7.707, 20.0, 33.0,2.468,2.742,2.473,2.478
20251223T221426,7.566, 20.0, 33.0,2.468,2.742,2.473,2.478
20251223T221427,7.531, 20.0, 33.0,2.468,2.742,2.473,2.478
20251223T221429,7.707, 20.0, 33.0,2.468,2.742,2.473,2.478
20251223T221430,7.698, 20.0, 33.0,2.468,2.742,2.473,2.478
20251223T221432,7.496, 20.0, 33.0,2.468,2.742,2.473,2.478
20251223T221434,7.636, 20.0, 33.0,2.468,2.742,2.473,2.478
20251223T221435,7.487, 20.0, 33.0,2.468,2.742,2.473,2.478
20251223T221437,7.434, 20.0, 33.0,2.468,2.742,2.473,2.478
20251223T221438,7.645, 20.0, 33.0,2.468,2.742,2.473,2.478
20251223T221440,7.698, 20.0, 33.0,2.468,2.742,2.473,2.478
20251223T221442,7.469, 20.0, 33.0,2.468,2.742,2.473,2.478
20251223T221443,7.636, 20.0, 33.0,2.468,2.742,2.473,2.478
20251223T221445,7.434, 20.0, 33.0,2.468,2.742,2.473,2.478
20251223T221446,7.522, 20.0, 33.0,2.468,2.742,2.473,2.478
20251223T221448,7.636, 20.0, 33.0,2.468,2.742,2.473,2.478
20251223T221450,7.804, 20.0, 33.0,2.468,2.742,2.473,2.478
20251223T221451,7.786, 20.0, 33.0,2.468,2.742,2.473,2.478
20251223T221453,7.601, 20.0, 33.0,2.468,2.742,2.473,2.478
20251223T221454,7.443, 20.0, 33.0,2.468,2.742,2.473,2.478
20251223T221456,7.540, 20.0, 33.0,2.468,2.742,2.473,2.478
20251223T221458,7.689, 20.0, 33.0,2.468,2.742,2.473,2.478
20251223T221459,7.513, 20.0, 33.0,2.483,2.757,2.488,2.488
